,,Stand-size class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Forest type,Total,,Large diameter,,,,,Medium diameter,,,,,,Small diameter,,,,,,Nonstocked,,,,,,,,,,,,
,Total,0.7513,,0.3981,,,,,0.3155,,,,,,2.6399,,,,,,3.2474,,,,,,,,,,,,
,Jack pine,0.1499,,0.0418,,,,,0.0885,,,,,,0.3111,,,,,,-,,,,,,,,,,,,
,Red pine,0.6126,,0.7613,,,,,0.2263,,,,,,0.4282,,,,,,-,,,,,,,,,,,,
,Eastern white pine,0.3706,,0.3264,,,,,0.2884,,,,,,1.1805,,,,,,-,,,,,,,,,,,,
,Eastern white pine / eastern hemlock,0.7589,,0.7140,,,,,-,,,,,,3.1856,,,,,,-,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eastern hemlock,0.4747,,0.4772,,,,,0.4578,,,,,,0.0244,,,,,,-,,,,,,,,,,,,
,Balsam fir,0.3640,,0.0428,,,,,0.3302,,,,,,0.5284,,,,,,-,,,,,,,,,,,,
,White spruce,0.1602,,0.1546,,,,,0.1598,,,,,,0.1751,,,,,,-,,,,,,,,,,,,
,Red spruce,0.2662,,0.1231,,,,,0.1967,,,,,,0.7620,,,,,,-,,,,,,,,,,,,
,Red spruce / balsam fir,0.2476,,0.1508,,,,,0.3301,,,,,,0.2291,,,,,,-,,,,,,,,,,,,
,Black spruce,0.0759,,-,,,,,0.0195,,,,,,0.1156,,,,,,-,,,,,,,,,,,,
,Tamarack,0.0520,,0.0331,,,,,0.0008,,,,,,0.0897,,,,,,-,,,,,,,,,,,,
,Northern white-cedar,0.1412,,0.1215,,,,,0.1754,,,,,,0.1111,,,,,,-,,,,,,,,,,,,
,Longleaf pine,0.7633,,0.3272,,,,,0.2480,,,,,,2.3066,,,,,,-,,,,,,,,,,,,
,Slash pine,0.9518,,0.6030,,,,,0.5501,,,,,,2.8403,,,,,,-,,,,,,,,,,,,
,Loblolly pine,1.5667,,1.0720,,,,,0.5076,,,,,,5.1291,,,,,,-,,,,,,,,,,,,
,Shortleaf pine,0.2232,,0.2048,,,,,0.2256,,,,,,0.5219,,,,,,-,,,,,,,,,,,,
,Virginia pine,0.2620,,0.1754,,,,,0.0325,,,,,,1.0514,,,,,,-,,,,,,,,,,,,
,Sand pine,1.2971,,0.8319,,,,,0.5143,,,,,,3.0461,,,,,,-,,,,,,,,,,,,
,Table Mountain pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Pond pine,0.0205,,0.0302,,,,,0.0013,,,,,,-,,,,,,-,,,,,,,,,,,,
,Pitch pine,0.0099,,0.0004,,,,,0.0329,,,,,,-,,,,,,-,,,,,,,,,,,,
,Spruce pine,0.7056,,0.8637,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Eastern redcedar,0.1327,,0.1394,,,,,0.1568,,,,,,0.0913,,,,,,-,,,,,,,,,,,,
,Rocky Mountain juniper,0.0100,,-,,,,,-,,,,,,0.1163,,,,,,-,,,,,,,,,,,,
,Juniper woodland,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Pinyon / juniper woodland,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Douglas-fir,1.2025,,0.3529,,,,,0.1534,,,,,,7.4436,,,,,,-,,,,,,,,,,,,
,Port-Orford-cedar,1.5612,,-,,,,,-,,,,,,7.6493,,,,,,-,,,,,,,,,,,,
,Ponderosa pine,0.3191,,0.2549,,,,,0.0696,,,,,,1.1425,,,,,,-,,,,,,,,,,,,
,Incense-cedar,0.1610,,0.1691,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Sugar pine,0.1206,,0.1233,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Jeffrey pine,0.1164,,0.1322,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Western white pine,0.0064,,-,,,,,-,,,,,,0.0222,,,,,,-,,,,,,,,,,,,
,White fir,0.2877,,0.1889,,,,,1.2204,,,,,,1.2470,,,,,,-,,,,,,,,,,,,
,Red fir,0.0273,,0.0284,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Noble fir,0.1327,,0.1868,,,,,-,,,,,,0.0027,,,,,,-,,,,,,,,,,,,
,Pacific silver fir,0.1776,,0.0246,,,,,0.1979,,,,,,1.3269,,,,,,-,,,,,,,,,,,,
,Engelmann spruce,0.1243,,0.0176,,,,,-,,,,,,0.5228,,,,,,-,,,,,,,,,,,,
,Engelmann spruce / subalpine fir,0.0183,,0.0136,,,,,0.0808,,,,,,-,,,,,,-,,,,,,,,,,,,
,Grand fir,0.3411,,0.1343,,,,,0.0594,,,,,,1.3141,,,,,,-,,,,,,,,,,,,
,Subalpine fir,0.0781,,0.1248,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Blue spruce,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Mountain hemlock,0.0067,,0.0069,,,,,-,,,,,,0.0027,,,,,,-,,,,,,,,,,,,
,Alaska-yellow-cedar,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Lodgepole pine,0.1713,,0.1053,,,,,0.1038,,,,,,0.2840,,,,,,-,,,,,,,,,,,,
,Western hemlock,1.0314,,0.1162,,,,,0.1159,,,,,,7.4692,,,,,,-,,,,,,,,,,,,
,Western redcedar,0.5158,,0.1362,,,,,0.0608,,,,,,4.4807,,,,,,-,,,,,,,,,,,,
,Sitka spruce,0.3780,,0.2292,,,,,0.1151,,,,,,1.1831,,,,,,-,,,,,,,,,,,,
